epoch,train_loss,train_map50,train_map50_95,val_loss,val_map50,val_map50_95,lr,epoch_time
1,7.29765,0.00000,0.00000,5.03441,0.00000,0.00000,0.0001,44.70877
2,5.08494,0.00000,0.00000,4.49670,0.00000,0.00000,0.00028000000000000003,41.48596
3,4.55309,0.00000,0.00000,4.20370,0.00000,0.00000,0.00046,41.86365
4,4.31633,0.00000,0.00000,4.06278,0.00000,0.00000,0.00064,42.20944
5,4.09333,0.06701,0.02044,4.05505,0.08744,0.02786,0.0008200000000000001,129.93651
6,3.99423,0.06701,0.02044,3.86750,0.08744,0.02786,0.001,41.26392
7,3.80700,0.06701,0.02044,3.77726,0.08744,0.02786,0.001,41.98419
8,3.68190,0.06701,0.02044,3.67209,0.08744,0.02786,0.001,41.99638
9,3.55617,0.06701,0.02044,3.62013,0.08744,0.02786,0.001,42.05921
10,3.45708,0.14666,0.05121,3.62451,0.14817,0.04673,0.001,144.10716
11,3.39031,0.14666,0.05121,3.52308,0.14817,0.04673,0.001,41.75301
12,3.35197,0.14666,0.05121,3.44574,0.14817,0.04673,0.001,41.92948
13,3.23985,0.14666,0.05121,3.37975,0.14817,0.04673,0.001,42.08735
14,3.17662,0.14666,0.05121,3.34704,0.14817,0.04673,0.001,42.03363
15,3.11417,0.20449,0.07405,3.33302,0.19879,0.07313,0.001,152.12815
16,3.05273,0.20449,0.07405,3.32430,0.19879,0.07313,0.001,41.70669
17,3.00286,0.20449,0.07405,3.30924,0.19879,0.07313,0.001,41.11588
18,2.93777,0.20449,0.07405,3.23429,0.19879,0.07313,0.001,42.20167
19,2.87207,0.20449,0.07405,3.27306,0.19879,0.07313,0.001,41.76349
20,2.82920,0.24776,0.09211,3.18430,0.24643,0.09495,0.001,160.34993
21,2.76851,0.24776,0.09211,3.17325,0.24643,0.09495,0.001,41.62057
22,2.72282,0.24776,0.09211,3.17157,0.24643,0.09495,0.001,41.45488
23,2.67896,0.24776,0.09211,3.17730,0.24643,0.09495,0.001,41.32337
