epoch,train_loss,train_map50,train_map50_95,val_loss,val_map50,val_map50_95,lr,epoch_time
1,5.82402,0.00000,0.00000,4.81342,0.00000,0.00000,0.0001,135.86610
2,4.84306,0.00000,0.00000,4.61471,0.00000,0.00000,0.00019,133.98227
3,4.62095,0.00000,0.00000,4.54333,0.00000,0.00000,0.00028000000000000003,133.83968
4,4.44188,0.00000,0.00000,4.45888,0.00000,0.00000,0.00037,134.02927
5,4.32076,0.00798,0.00224,4.39975,0.01169,0.00336,0.00046,327.84920
6,4.20197,0.00798,0.00224,4.21483,0.01169,0.00336,0.00055,133.71470
7,4.05370,0.00798,0.00224,4.09120,0.01169,0.00336,0.00064,133.85577
8,3.95854,0.00798,0.00224,4.04206,0.01169,0.00336,0.00073,133.79391
9,3.88452,0.00798,0.00224,4.03034,0.01169,0.00336,0.0008200000000000001,133.95503
10,3.86648,0.02746,0.00857,76.75981,0.00052,0.00012,0.00091,433.87764
11,4.18440,0.02746,0.00857,4.07793,0.00052,0.00012,0.001,133.55651
12,3.88783,0.02746,0.00857,3.91069,0.00052,0.00012,0.001,133.99187
13,3.76910,0.02746,0.00857,3.93870,0.00052,0.00012,0.001,133.80308
14,3.67920,0.02746,0.00857,4.02846,0.00052,0.00012,0.001,133.99438
15,3.60181,0.04511,0.01587,3.77817,0.04408,0.01655,0.001,419.95022
16,3.53707,0.04511,0.01587,3.72271,0.04408,0.01655,0.001,133.51261
17,3.48883,0.04511,0.01587,3.72194,0.04408,0.01655,0.001,133.95207
18,3.44103,0.04511,0.01587,3.78876,0.04408,0.01655,0.001,133.94307
19,3.39295,0.04511,0.01587,3.75748,0.04408,0.01655,0.001,133.91174
20,3.36783,0.05945,0.02248,3.77323,0.05415,0.02190,0.001,428.19993
21,3.32982,0.05945,0.02248,3.67474,0.05415,0.02190,0.001,133.86621
22,3.27702,0.05945,0.02248,3.54576,0.05415,0.02190,0.001,133.87008
23,3.26800,0.05945,0.02248,17.97147,0.05415,0.02190,0.001,133.93033
24,3.44426,0.05945,0.02248,3.79384,0.05415,0.02190,0.001,133.98089
25,3.27655,0.06504,0.02462,3.79216,0.05570,0.02300,0.001,429.40201
26,3.21335,0.06504,0.02462,3.60732,0.05570,0.02300,0.001,133.68300
27,3.17039,0.06504,0.02462,3.59153,0.05570,0.02300,0.001,134.09681
28,3.15254,0.06504,0.02462,4.17124,0.05570,0.02300,0.001,134.06419
29,3.10955,0.06504,0.02462,3.66057,0.05570,0.02300,0.001,134.06222
30,3.07402,0.08443,0.03395,3.42434,0.09025,0.03922,0.001,423.15809
31,3.03553,0.08443,0.03395,3.51310,0.09025,0.03922,0.001,133.88376
32,3.02679,0.08443,0.03395,3.56665,0.09025,0.03922,0.001,134.01695
33,2.98172,0.08443,0.03395,3.45388,0.09025,0.03922,0.001,134.07127
34,2.96339,0.08443,0.03395,3.46611,0.09025,0.03922,0.001,134.03534
35,2.93726,0.11149,0.04697,3.45780,0.09827,0.04086,0.001,431.14886
36,2.90447,0.11149,0.04697,3.48203,0.09827,0.04086,0.001,133.83507
37,2.92316,0.11149,0.04697,3.39077,0.09827,0.04086,0.001,134.05507
38,2.86613,0.11149,0.04697,3.37408,0.09827,0.04086,0.001,134.00315
39,2.83032,0.11149,0.04697,3.34907,0.09827,0.04086,0.001,134.14264
40,2.80770,0.14497,0.06296,3.29267,0.14763,0.06653,0.001,440.79593
41,2.78629,0.14497,0.06296,3.29997,0.14763,0.06653,0.001,133.49392
42,2.78692,0.14497,0.06296,3.28411,0.14763,0.06653,0.001,133.77905
43,2.73246,0.14497,0.06296,3.55315,0.14763,0.06653,0.001,133.80924
44,2.82695,0.14497,0.06296,3.50194,0.14763,0.06653,0.001,134.03096
45,2.72360,0.17268,0.07471,3.21470,0.16633,0.07336,0.001,457.08894
46,2.68819,0.17268,0.07471,3.22910,0.16633,0.07336,0.001,133.66680
47,2.66404,0.17268,0.07471,3.19710,0.16633,0.07336,0.001,133.85188
48,2.63009,0.17268,0.07471,3.18774,0.16633,0.07336,0.001,133.71602
49,2.59947,0.17268,0.07471,3.15324,0.16633,0.07336,0.001,133.90632
50,2.58368,0.20428,0.09023,3.13224,0.19877,0.08773,0.001,472.79667
51,2.56228,0.20428,0.09023,3.18192,0.19877,0.08773,0.001,133.61399
